name,iata
Bellview Airlines,B3
Bemidji Airlines,CH
Benin Golf Air,A8
Bering Air,8E
Berjaya Air,J8
Big Sky Airlines,GQ
Biman Bangladesh Airlines,BG
Binter Canarias,NT
Bismillah Airlines,5Z
Blue Air,0B
Blue Dart Aviation,BZ
Blue Panorama Airlines,BV
Blue Wings,QW
Blue1,KF
Boston-Maine Airways,E9
Bouraq Indonesia Airlines,BO
Braathens,BU
Braniff International Airways,BN
Bravo Air Congo,K6
Bringer Air Cargo Taxi Aereo,E6
Brit Air,DB
British Airways,BA
British International Helicopters,BS
British Mediterranean Airways,KJ
Brussels Airlines,SN
Buffalo Airways,J4
Bulgaria Air,FB
CAL Cargo Air Lines,5C
CHC Airways,AW
Calima Aviacion,XG
Camai Air,R9
Cameroon Airlines,UY
CanJet,C6
Canadian Airlines,CP
Canadian North,5T
Canadian Western Airlines,W2
Cape Air,9K
Capital Cargo International Airlines,PT
Cargo Plus Aviation,8L
Cargoitalia,2G
Cargojet Airways,W8
Caribbean Airlines,BW
Caribbean Star Airlines,8B
Carpatair,V3
Caspian Airlines,RV
Cathay Pacific,CX
Cayman Airways,KX
Cebu Pacific,5J
Centavia,7N
Centralwings,C0
Centre-Avia,J7
Centurion Air Cargo,WE
Chalk's Ocean Airways,OP
Champion Air,MG
Changan Airlines,2Z
Chari Aviation Services,S8
Chautauqua Airlines,RP
Chicago Express,C8
China Airlines,CI
China Cargo Airlines,CK
China Eastern Airlines,MU
China Northern Airlines,CJ
China Northwest Airlines,WH
China Southern Airlines,CZ
China United Airlines,HR
China Xinhua Airlines,XO
Chitaavia,X7
Cielos Airlines,A2
Cimber Air,QI
Cirrus Airlines,C9
City Airline,CF
City Connexion Airlines,G3
CityJet,WX
Civil Air Transport,CT
Club Air,6P
Coast Air,BX
Coastal Air,DQ
Colgan Air,9L
Comair,MN
Comair,OH
CommutAir,C5
Comores Airlines,KR
Compania Mexicargo,GJ
Condor Flugdienst,DE
Consorcio Aviaxsa,6A
Continental Airlines,CO
Continental Micronesia,CS
Conviasa,V0
Copa Airlines,CM
Corsairfly,SS
Corse-Mediterranee,XK
Cosmic Air,F5
Coyne Aviation,7C
Croatia Airlines,OU
Crossair Europe,QE
Cubana de Aviación,CU
Cyprus Airways,CY
Cyprus Turkish Airlines,YK
Czech Airlines,OK
DAS Air Cargo,WD
DAT Danish Air Transport,DX
DHL International,ES
DHL de Guatemala,L3
Daallo Airlines,D3
Dagestan Airlines,N2
Dalavia,H8
Darwin Airline,0D
Dauair,D5
Delta Air Lines,DL
Deutsche Bahn,2A
Deutsche Rettungsflugwacht,1I
Dinar,D7
Discovery Airways,DH
Djibouti Airlines,D8
Dominicana de Aviación,DO
Domodedovo Airlines,E3
Dragonair,KA
Druk Air,KB
EVA Air,BR
Eagle Air,H7
East African Safari Air,S9
East African,QU
Eastern Airways,T3
Eastland Air,DK
Egyptair,MS
El Al Israel Airlines,LY
El-Buraq Air Transport,UZ
Electronic Data Systems,1C
Emirates Airline,EK
Empresa Ecuatoriana De Aviacion,EU
Eos Airlines,E0
Eritrean Airlines,B8
Estafeta Carga Aerea,E7
Estonian Air,OV
Ethiopian Airlines,ET
Etihad Airways,EY
Euro Exec Express,RZ
EuroAtlantic Airways,MM
Eurocypria Airlines,UI
Eurolot,K2
Euromanx Airways,3W
European Air Express,EA
European Air Transport,QY
Eurowings,EW
Evergreen International Airlines,EZ
Excel Airways,JN
Execair Aviation,MB
Executive Airlines,OW
Express One International,EO
ExpressJet,XE
Falcon Aviation,IH
Far Eastern Air Transport,EF
Faroejet,F6
Faso Airways,F3
Federal Express,FX
Fika Salaama Airlines,N8
Finalair Congo,4S
Finnair,AY
Finncomm Airlines,FC
Firefly,FY
First Air,7F
First Choice Airways,DP
Fischer Air,8F
Flightline,B5
Florida Coastal Airlines,PA
Florida West International Airways,RF
Fly Air,F2
Fly Me Sweden,SH
FlyLal,TE
FlyNordic,LF
Flybaboo,F7
Flybe,BE
Flyhy Cargo Airlines,W3
Formosa Airlines,VY
Four Star Aviation / Four Star Cargo,HK
Freedom Air,FP
Freedom Air,SJ
Frontier Airlines,F9
Frontier Flying Service,2F
Futura International Airways,FH
GB Airways,GT
Galaxy Air,7O
Galileo International,1G
Gambia International Airlines,GC
Gandalf Airlines,G7
Garuda Indonesia,GA
Georgian Airways,A9
Georgian National Airlines,QB
Germania,ST
Germanwings,4U
Gestair,GP
Ghana Airways,GH
Ghana International Airlines,G0
Go One Airways,GK
Golden Air,DC
Gorkha Airlines,G1
Great Lakes Airlines,ZK
Great Wall Airlines,IJ
Grupo TACA,TA
Guine Bissaur Airlines,G6
Guinee Airlines,J9
Gulf Air Bahrain,GF
Guyana Airways 2000,GY
Hageland Aviation Services,H6
Hainan Airlines,HU
Hainan Phoenix Information Systems,1R
Haiti Ambassador Airlines,2T
Hamburg International,4R
Hapag-Lloyd Express (TUIfly),X3
Hapagfly,HF
Harbor Airlines,HB
Harmony Airways,HQ
Hawaiian Airlines,HA
Hawkair,BH
Heavylift Cargo Airlines,HN
Heli France,8H
Helijet,JB
Helios Airways,ZU
Hellas Jet,T4
Hello,HW
Helvetic Airways,2L
Hemus Air,DU
Hex'Air,UD
Hi Fly,5K
Hokkaido International Airlines,HD
Hola Airlines,H5
Hong Kong Express Airways,UO
Hope Air,HH
Horizon Air,QX
HÃ©li SÃ©curitÃ© Helicopter Airlines,H4
IBC Airways,II
ICAR Airlines,C3
INFINI Travel Information,1F
ITA Software,1U
Iberia Airlines,IB
Ibex Airlines,FW
Icelandair,FI
Imair Airlines,IK
IndiGo Airlines,6E
Indian Airlines,IC
Indonesia AirAsia,QZ
Indonesian Airlines,IO
Interair South Africa,D6
Intercontinental de Aviación,RS
Interlink Airlines,ID
International Business Air,6I
Intersky,3L
Interstate Airline,I4
Iran Air,IR
Iran Aseman Airlines,EP
Iraqi Airways,IA
Island Airlines,IS
Island Express,2S
Islands Nationair,CN
Islas Airways,IF
Islena De Inversiones,WC
Israir,6H
Itali Airlines,9X
Itek Air,GI
J-Air,XM
JAL Express,JC
JALways,JO
JSC Transport Automated Information Systems,1M
Japan Airlines Domestic,JL
Japan Asia Airways,EG
Japan Transocean Air,NU
Jat Airways,JU
Jatayu Airlines,VJ
Jet Airways,9W
Jet Airways,QJ
Jet2.com,LS
JetBlue Airways,B6
Jetairfly,JF
Jetclub,0J
JetsGo,SG
Jetstar Airways,JQ
Jetstar Asia Airways,3K
Jett8 Airlines Cargo,JX
Jetx Airlines,GX
Jordan Aviation,R5
KD Avia,KD
KLM Cityhopper,WA
KLM Royal Dutch Airlines,KL
Kalitta Air,K4
Kam Air,RQ
Kampuchea Airlines,E2
Karat,V2
Kavminvodyavia,KV
Kenmore Air,M5
Kenya Airways,KQ
Kingfisher Airlines,IT
Kish Air,Y9
Kiwi International Air Lines,KP
Kogalymavia Air Company,7K
Komiinteravia,8J
Korean Air,KE
Krasnojarsky Airlines,7B
Krylo Airlines,K9
Kuban Airlines,GW
Kuwait Airways,KU
Kuzu Airlines Cargo,GO
Kyrgyz Airlines,N5
Kyrgyzstan Airlines,R8
LACSA,LR
LAI - Linea Aerea IAACA,KG
LAN Airlines,LA
LAN Express,LU
LAN Peru,LP
LOT Polish Airlines,LO
LTU International,LT
Lagun Air,N6
Lao Airlines,QV
Laoag International Airlines,L7
Lauda Air,NG
Lebanese Air Transport,LQ
Leeward Islands Air Transport,LI
Libyan Arab Airlines,LN
Linea Aerea de Servicio Ejecutivo Regional,8z
Linhas Aéreas de Moçambique,LM
Lion Mentari Airlines,JT
Lloyd Aereo Boliviano,LB
Luftfahrtgesellschaft Walter,HE
Lufthansa Cargo,LH
Lufthansa CityLine,CL
Lufthansa Systems,L1
Lufttaxi Fluggesellschaft,DV
Lufttransport,L5
Luxair,LG
Lviv Airlines,5V
Lynden Air Cargo,L2
Líneas Aéreas Privadas Argentinas,MJ
MAT Macedonian Airlines,IN
MIAT Mongolian Airlines,OM
Maersk,DM
Mahan Air,W5
Mahfooz Aviation,M2
Malaysia Airlines,MH
MalmÃ¶ Aviation,TF
Malév Hungarian Airlines,MA
Mandala Airlines,RI
Mandarin Airlines,AE
Mango,JE
Marsland Aviation,M7
Martinair,MP
Mastertop Linhas Aereas,Q4
Maxair,8M
Maxjet Airways,MY
Maya Island Air,MW
Menajet,IM
Meridiana,IG
Merpati Nusantara Airlines,MZ
Mesa Airlines,YV
Mesaba Airlines,XJ
Metro Batavia,7P
Mexicana de Aviación,MX
Middle East Airlines,ME
Midway Airlines,JI
Midwest Airlines,YX
Moldavian Airlines,2M
Montenegro Airlines,YM
Moskovia Airlines,3R
Motor Sich,M9
Mountain Air Company,N4
MyTravel Airways,VZ
Myanma Airways,UB
Myway Airlines,8I
Nas Air,P9
Nas Air,XY
Nasair,UE
National Airlines,N7
National Airlines,NA
National Airways Cameroon,9O
National Jet Systems,NC
Nationwide Airlines,CE
Nauru Air Corporation,ON
Navitaire,1N
Nepal Airlines,RA
New England Airlines,EJ
Niki,HG
Nippon Cargo Airlines,KZ
Nok Air,DD
Nordeste Linhas Aereas Regionais,JH
Nordic Regional,6N
North Coast Aviation,N9
Northern Dene Airways,U7
Northwest Airlines,NW
Northwestern Air,J3
Norwegian Air Shuttle,DY
Nouvel Air Tunisie,BJ
Nova Airline,M4
O'Connor Airlines,UQ
OAG,CR
Oasis Hong Kong Airlines,O8
Ocean Airlines,VC
Oceanair,O6
Oceanic Airlines,O2
Olympic Airlines,OA
Oman Air,WY
Omni Air International,OY
Omskavia Airline,N3
Open Skies Consultative Commission,1L
Orenburg Airlines,R2
Orient Thai Airlines,OX
Ostfriesische Lufttransport,OL
Overland Airways,OJ
Ozjet Airlines,O7
PAN Air,PV
PB Air,9Q
PLUNA,PU
PMTair,U4
Pace Airlines,Y5
Pacific Airlines,BL
Pacific Blue,DJ
Pacific Coastal Airline,8P
Pacific East Asia Cargo Airlines,Q8
Pacific Southwest Airlines,PS
Pacific Wings,LW
Pakistan International Airlines,PK
Palestinian Airlines,PF
Pamir Airways,NR
Pan American Airways,PN
Panafrican Airways,PQ
Pantanal Linhas AÃ©reas,P8
Paramount Airways,I7
Peninsula Airways,KS
Philippine Airlines,PR
Phuket Air,9R
Piedmont Airlines (1948-1989),PI
Pinnacle Airlines,9E
Polar Air Cargo,PO
Polynesian Airlines,PH
Porter Airlines,PD
Portugalia,NI
Potomac Air,BK
Precision Air,PW
President Airlines,TO
Primaris Airlines,FE
Private flight,-
Proflight Commuter Services,P0
Pulkovo Aviation Enterprise,FV
Qantas,QF
Qatar Airways,QR
RACSA,R6
Radixx Solutions International,1D
Reem Air,V4
Regional Airlines,FN
Regional Express,ZL
RegionsAir,3C
Republic Airlines,RW
Republic Express Airlines,RH
Rico Linhas Aéreas,C7
Rio Sul Serviços Aéreos Regionais,SL
Rossiya,R4
Rotation International Air Services,GZ
Royal Air Force,RR
Royal Air Maroc,AT
Royal Airlines,R0
Royal Brunei Airlines,BI
Royal Jordanian,RJ
Royal Phnom Penh Airways,RL
Royal Tongan Airlines,WR
Russian Sky Airlines,P7
Rwandair Express,WB
Ryan International Airlines,RD
Ryanair,FR
Régional,YS
S7 Airlines,S7
SATA Air Acores,SP
SATA International,S4
SITA,XS
SNCF,2C
Sabre Pacific,1Z
Sabre,1S
Safair,FA
Samara Airlines,E5
Santa Barbara Airlines,S3
Saratov Aviation Division,6W
Sat Airlines,HZ
Saudi Arabian Airlines,SV
Scandinavian Airlines System,SK
Scorpio Aviation,8S
Seaborne Airlines,BB
Servicios de Transportes Aéreos Fueguinos,FS
Shaheen Air International,NL
Shandong Airlines,SC
Shanghai Airlines,FM
Shenzhen Airlines,ZH
Shuttle America,S5
Sibaviatrans,5M
Sichuan Airlines,3U
Siem Reap Airways,FT
Sierra National Airlines,LJ
Silk Way Airlines,ZP
SilkAir,MI
Singapore Airlines Cargo,SQ
Siren-Travel,1H
Sirena,1Q
Sirin,R1
Sky Airline,H2
Sky Express,XW
Sky Eyes,I6
SkyEurope,NE
SkyWest,OO
Skybus Airlines,SX
Skymark Airlines,BC
Skynet Airlines,SI
Skynet Asia Airways,6J
Skyservice Airlines,5G
Skywalk Airlines,AL
Skyways Express,JZ
Slok Air Gambia,S0
Slovak Airlines,6Q
Solomon Airlines,IE
Sosoliso Airlines,SO
South African Airways,SA
South East Asian Airlines,DG
Southern Cross Distribution,1K
Southern Winds Airlines,A4
Southwest Airlines,WN
Spanair,JK
Spirit Airlines,NK
Spring Airlines,9S
SriLankan Airlines,UL
Star Air,S6
Star Flyer,7G
Sterling Airlines,NB
Sudan Airways,SD
Sun Country Airlines,SY
Sun D'Or,7L
SunExpress,XQ
Sunshine Express Airlines,CQ
Sunwing Airlines,WG
Surinam Airways,PY
Swe Fly,WV
Swedline Express,SM
Swiss International Air Lines,LX
Swissair,SR
TAAG Angola Airlines,DT
TACV,VR
TAM Brazilian Airlines,JJ
TAM Mercosur,PZ
TAME,EQ
TAMPA,QT
TAP Portugal,TP
TNT Airways,3V
TRIP Linhas Aéreas,8R
TUI Airlines Belgium,TB
TUIfly Nordic,6B
Tandem Aero,TQ
Tarom,RO
Tassili Airlines,SF
Tatarstan Airlines,U9
Tavrey Airlines,T6
Tbilaviamsheni,L6
Teamline Air,L9
Thai Air Cargo,T2
Thai AirAsia,FD
Thai Airways International,TG
Thai Sky Airlines,9I
Thai Star Airlines,T9
Thalys,2H
Thomas Cook Airlines,FQ
Thomas Cook Airlines,MT
Thomsonfly,BY
Tiara Air,3P
Tiger Airways,TR
Titan Airways,ZT
Tol-Air Services,TI
Trans States Airlines,AX
Trans World Airlines,TW
TransAsia Airways,GE
Transaero Airlines,UN
Transavia Holland,HV
Transwest Air,9T
Travelsky Technology,1E
Tropic Air,PM
Tuninter,UG
Tunisair,TU
Turan Air,3T
Turkish Airlines,TK
Turkmenistan Airlines,T5
Twin Jet,T7
UM Airlines,UF
US Airways,US
US Helicopter Corporation,UH
USA3000 Airlines,U5
UTair Aviation,UT
Ukrainian Cargo Airways,6Z
United Airlines,UA
United Feeder Service,U2
United Parcel Service,5X
Ural Airlines,U6
Uzbekistan Airways,HY
V Australia Airlines,VA
VASP,VP
VIA Rail Canada,2R
VIM Airlines,NN
VLM Airlines,VG
VRG Linhas Aereas,RG
Valuair,VF
Varig Logística,LC
Viaggio Air,VM
Vietnam Airlines,VN
Virgin Atlantic Airways,VS
Virgin Express,TV
Virgin Nigeria Airways,VK
Viva Macau,ZG
Vladivostok Air,XF
Volaris,Y4
Volga-Dnepr Airlines,VI
Wayraperú,7W
WebJet Linhas Aéreas,WJ
Welcome Air,2W
West Coast Air,8O
WestJet,WS
Widerøe,WF
Wind Jet,IV
Wings Air,1W
Wizz Air,W6
World Airways,WO
Worldspan,1P
XL Airways France,SE
Xiamen Airlines,MF
Xtra Airways,XP
Yamal Airlines,YL
Yangtze River Express,Y8
Yellow Air Taxi,Y0
Yemenia,IY
Yunnan Airlines,3Q
Yuzhmashavia,2N
Zambian Airways,Q3
Zimex Aviation,C4
Zip,3J
Zoom Airlines,Z4
bmi,BD
bmibaby,WW
buzz,UK
dba,DI
Flydubai,FZ
